electricity,rpm,pressure_steam,vibration,status
209.24,474.22,87.67,40.82,Normal
174.19,407.6,97.64,39.39,Fail
158.95,443.21,106.7,39.87,Maintenance
170.41,499.03,87.07,45.27,Normal
163.23,425.61,74.43,37.78,Fail
159.86,457.14,94.17,38.82,Maintenance
182.84,387.24,95.33,41.54,Normal
176.91,383.76,90.63,46.05,Fail
183.69,417.96,94.88,39.4,Fail
156.13,471.64,91.95,44.1,Normal
159.63,429.46,93.59,45.3,Normal
175.05,507.86,99.39,36.75,Normal
188.75,457.32,92.9,48.79,Fail
172.74,496.62,105.08,34.63,Normal
150.63,452.13,111.34,44.44,Normal
158.96,448.19,88.56,45.73,Maintenance
175.07,437.67,108.93,44.37,Normal
166.14,507.05,84.91,38.93,Fail
180.6,403.65,94.92,36.3,Maintenance
182.08,407.57,110.76,46.86,Maintenance
167.05,496.4,98.35,41.68,Maintenance
186.32,434.3,99.72,33.14,Normal
167.11,476.09,92.88,39.98,Maintenance
219.46,500.9,104.15,43.8,Fail
179.86,461.48,120.3,35.82,Fail
160.45,453.46,105.47,45.18,Normal
188.96,549.74,88.5,49.01,Normal
160.91,403.03,88.7,47.81,Maintenance
123.18,484.76,121.27,47.15,Normal
161.82,478.75,88.34,41.67,Fail
174.71,411.37,106.17,34.44,Fail
189.55,375.13,108.89,44.27,Maintenance
180.84,460.82,110.68,33.66,Fail
182.5,445.51,90.55,40.67,Normal
183.92,460.06,99.13,36.08,Fail
170.66,463.29,101.95,39.22,Fail
166.69,439.17,94.99,33.09,Fail
174.0,482.18,94.77,54.03,Maintenance
188.34,427.71,102.45,38.73,Normal
151.46,528.62,102.01,43.59,Maintenance
133.3,449.64,90.04,40.05,Normal
164.43,412.64,93.89,38.07,Fail
174.04,440.91,103.63,29.98,Normal
183.12,434.94,86.7,41.31,Maintenance
160.8,492.38,86.93,36.37,Fail
179.71,556.28,105.89,35.74,Fail
189.23,424.31,94.4,32.97,Maintenance
184.34,446.8,83.54,34.18,Maintenance
217.33,574.89,103.77,43.36,Fail
149.92,458.29,108.44,37.16,Maintenance
158.81,515.28,109.95,33.19,Normal
173.97,467.16,121.69,33.65,Maintenance
160.74,535.26,94.16,34.36,Normal
151.25,422.95,103.61,42.74,Maintenance
176.6,395.79,107.57,33.79,Maintenance
200.36,475.02,101.65,39.35,Normal
156.64,437.09,97.86,39.69,Fail
172.12,440.8,101.47,31.45,Maintenance
165.52,518.97,99.5,37.63,Maintenance
156.27,365.06,106.85,36.5,Fail
153.0,402.36,94.59,40.69,Maintenance
191.17,417.56,114.61,35.54,Maintenance
192.15,320.35,106.67,43.94,Fail
180.36,438.62,117.22,39.82,Normal
179.11,455.85,92.36,33.75,Fail
168.9,450.7,98.03,36.46,Fail
154.83,477.35,120.52,41.58,Fail
157.6,472.8,104.49,36.2,Fail
181.54,473.52,109.43,36.42,Fail
188.24,439.19,111.57,43.82,Fail
187.2,528.81,84.35,29.57,Normal
157.01,413.89,100.36,44.62,Normal
173.92,574.41,118.92,37.9,Fail
167.57,391.76,100.87,43.77,Maintenance
164.55,511.21,104.74,33.49,Fail
154.43,485.71,107.36,45.77,Fail
188.51,526.72,99.75,42.75,Normal
193.24,440.34,105.94,44.01,Maintenance
163.27,493.42,100.29,49.34,Maintenance
185.58,475.82,92.05,46.8,Fail
177.38,386.8,108.21,43.04,Fail
152.94,368.92,98.6,34.99,Normal
176.77,501.45,98.48,22.08,Fail
162.64,382.5,95.67,59.27,Maintenance
180.13,482.5,104.85,47.73,Maintenance
168.73,443.79,88.61,49.44,Maintenance
156.45,474.18,100.62,38.88,Fail
159.78,466.36,111.91,43.58,Fail
169.67,397.22,78.58,38.39,Normal
174.93,332.06,101.29,32.49,Fail
163.15,402.56,97.88,40.51,Maintenance
158.19,494.16,94.08,39.62,Maintenance
175.21,453.19,96.32,34.5,Maintenance
181.83,403.77,84.27,56.15,Fail
180.11,437.91,91.54,47.42,Fail
141.7,476.12,104.41,50.04,Fail
192.85,429.88,95.1,42.89,Fail
162.76,424.18,99.82,40.53,Normal
173.9,439.75,96.37,36.16,Maintenance
163.27,479.42,93.02,41.28,Normal
151.74,422.67,120.8,46.6,Normal
185.59,437.47,101.09,44.81,Maintenance
149.28,465.47,103.21,39.6,Fail
174.74,444.72,106.13,35.52,Fail
188.19,345.71,110.76,44.82,Maintenance
179.27,518.79,112.18,39.84,Normal
166.42,445.17,109.74,48.98,Normal
160.6,432.71,106.17,38.78,Normal
167.07,506.53,94.51,62.78,Maintenance
162.0,439.51,104.13,36.98,Normal
172.73,441.8,110.07,40.37,Normal
162.38,463.29,89.64,46.35,Normal
176.09,395.17,80.7,36.34,Fail
169.02,423.66,85.18,39.03,Maintenance
204.15,514.81,115.4,46.03,Fail
183.27,434.08,90.88,38.09,Maintenance
174.62,501.8,106.76,43.22,Fail
186.28,483.7,115.06,50.69,Fail
148.94,464.25,102.41,35.23,Fail
150.41,518.6,98.17,43.77,Normal
159.43,429.09,102.96,43.85,Normal
157.84,467.68,133.97,34.62,Fail
195.88,477.88,103.15,37.53,Maintenance
163.39,487.37,107.06,38.99,Normal
176.96,431.64,100.03,36.65,Maintenance
168.3,400.23,142.74,59.58,Maintenance
165.15,427.26,111.78,47.26,Maintenance
163.14,418.75,88.25,46.34,Fail
183.06,359.71,89.8,34.31,Maintenance
189.77,451.75,102.65,31.61,Normal
153.56,378.36,99.81,41.88,Normal
163.2,503.64,89.7,33.7,Fail
166.91,425.42,118.34,55.89,Maintenance
150.37,376.53,102.86,45.14,Maintenance
164.25,468.33,94.12,35.45,Maintenance
166.88,568.15,101.59,37.63,Normal
154.25,364.75,109.92,43.82,Maintenance
158.2,489.5,87.86,41.53,Fail
160.54,436.32,92.3,37.18,Normal
157.17,448.39,94.01,45.61,Maintenance
166.88,455.24,84.93,43.37,Normal
169.53,449.88,95.46,45.04,Fail
175.29,501.59,101.2,45.3,Fail
141.41,530.86,87.61,44.99,Normal
167.27,437.46,102.25,37.31,Fail
188.66,442.23,110.15,40.11,Maintenance
172.95,435.58,105.43,39.32,Normal
176.88,419.28,102.07,49.01,Normal
171.25,379.76,88.39,38.06,Normal
190.26,427.26,85.57,40.99,Fail
144.02,479.49,103.06,35.92,Normal
156.2,481.13,98.61,45.57,Maintenance
168.2,475.66,116.59,36.85,Fail
187.67,455.9,76.99,38.16,Maintenance
173.26,430.9,96.95,33.73,Fail
175.06,522.14,95.21,37.74,Maintenance
152.1,454.56,119.42,41.86,Fail
147.96,360.13,108.45,41.02,Normal
184.07,492.01,90.99,39.41,Maintenance
131.75,402.04,96.97,35.05,Normal
172.61,527.97,94.7,32.38,Normal
180.75,395.99,95.86,35.1,Normal
143.32,505.32,95.23,45.31,Fail
170.87,466.87,108.85,35.91,Maintenance
189.09,387.3,100.97,42.1,Maintenance
136.41,558.7,91.83,37.96,Normal
177.96,446.33,96.13,37.56,Fail
165.35,456.58,122.41,39.43,Normal
159.34,359.16,103.83,39.52,Normal
176.9,463.72,96.06,34.38,Normal
182.72,599.02,133.55,36.46,Normal
196.5,464.77,85.54,32.07,Maintenance
178.03,476.97,98.87,45.67,Maintenance
142.72,536.64,92.36,41.63,Fail
152.47,430.1,85.2,49.94,Normal
168.82,473.82,115.55,40.64,Normal
204.63,377.35,105.18,35.24,Normal
161.48,416.95,98.5,37.01,Normal
155.84,439.87,115.28,45.11,Normal
169.82,477.34,89.75,30.83,Maintenance
157.94,374.62,89.99,39.64,Fail
165.69,494.57,113.04,37.02,Fail
127.88,389.3,85.5,35.25,Normal
202.35,423.7,99.08,38.49,Normal
174.74,468.42,97.51,40.84,Normal
168.69,533.6,118.88,35.84,Maintenance
164.13,391.58,108.3,49.39,Fail
189.89,504.46,96.44,42.06,Normal
186.89,507.51,98.34,34.64,Maintenance
188.51,505.56,98.86,52.61,Normal
188.95,509.25,85.83,37.95,Fail
191.08,498.8,95.07,34.52,Maintenance
189.57,448.61,105.87,40.14,Fail
172.54,463.96,91.2,49.64,Maintenance
167.3,369.32,104.04,43.96,Maintenance
154.97,500.39,96.21,38.48,Normal
185.83,516.88,88.88,42.93,Normal
122.3,508.6,110.36,52.82,Fail
187.07,487.6,97.84,39.65,Normal
169.2,342.42,107.42,42.73,Maintenance
141.1,536.83,101.18,40.95,Maintenance
172.57,453.09,78.05,40.42,Normal
169.79,468.9,111.73,36.84,Normal
184.22,438.82,102.69,46.61,Fail
189.35,467.98,111.13,42.61,Maintenance
160.06,449.56,113.84,31.55,Maintenance
169.1,415.14,95.55,31.68,Normal
159.84,468.36,87.36,34.92,Normal
175.66,394.88,94.49,44.13,Normal
194.94,532.88,106.49,33.0,Maintenance
175.9,503.45,113.38,43.21,Maintenance
160.12,500.09,127.9,41.96,Maintenance
159.04,466.7,109.05,39.42,Normal
167.44,397.82,94.75,47.73,Fail
162.48,382.59,108.82,40.44,Fail
163.65,538.4,98.92,45.42,Maintenance
161.79,472.24,104.08,40.85,Normal
175.49,496.93,93.22,40.81,Fail
190.67,437.1,113.03,35.93,Fail
157.85,465.61,92.78,37.73,Fail
181.64,473.52,83.68,37.07,Maintenance
176.18,398.65,104.69,39.7,Maintenance
158.07,361.56,100.62,38.03,Fail
162.77,474.9,98.58,38.84,Normal
179.45,514.18,98.95,48.47,Normal
194.73,462.56,92.02,47.43,Fail
161.2,523.3,99.94,46.36,Normal
188.06,368.82,97.77,33.69,Maintenance
143.14,445.8,94.89,35.0,Maintenance
163.29,411.85,97.49,45.99,Maintenance
174.23,418.74,99.62,44.2,Normal
170.07,508.85,107.32,33.88,Maintenance
159.96,502.94,90.4,43.37,Maintenance
172.09,492.26,103.78,42.05,Normal
181.11,491.74,101.64,43.28,Maintenance
175.8,439.8,79.99,39.74,Normal
168.51,455.64,85.73,40.49,Maintenance
176.13,447.49,99.19,35.61,Normal
156.76,323.23,85.91,41.95,Maintenance
160.53,398.15,108.94,39.55,Maintenance
164.89,438.29,110.77,42.35,Normal
156.26,490.31,102.32,33.93,Fail
166.35,446.22,88.69,35.89,Fail
152.91,487.95,111.86,28.25,Maintenance
167.42,323.89,101.16,46.72,Maintenance
175.74,404.35,111.76,37.31,Normal
167.84,450.58,98.56,43.9,Normal
205.1,432.89,111.67,41.96,Fail
174.84,461.59,108.04,43.76,Fail
183.62,415.26,95.36,44.96,Maintenance
157.62,348.47,84.12,50.95,Normal
172.37,407.05,112.88,34.08,Normal
179.29,412.08,100.54,34.39,Normal
160.87,405.06,115.93,43.41,Maintenance
166.81,445.59,110.82,37.97,Fail
185.68,448.31,106.76,43.92,Fail
171.28,613.36,87.62,41.36,Normal
176.81,466.83,113.59,39.37,Fail
188.24,425.36,97.48,34.13,Normal
189.12,393.58,109.33,44.32,Fail
180.88,381.9,106.19,42.09,Maintenance
211.26,451.27,92.71,32.66,Fail
155.49,529.25,89.52,38.45,Normal
178.96,560.57,118.33,42.63,Normal
146.36,502.97,107.03,60.21,Maintenance
198.26,472.23,118.64,39.71,Maintenance
172.5,368.0,90.77,44.92,Fail
181.78,490.74,98.79,47.62,Maintenance
149.29,449.04,86.26,50.31,Normal
151.1,423.62,101.49,45.37,Maintenance
148.43,445.01,95.97,34.56,Normal
188.47,507.21,123.63,41.36,Maintenance
143.4,450.31,103.3,42.32,Normal
152.81,443.71,105.17,30.26,Maintenance
175.97,385.23,89.29,36.49,Normal
189.09,515.99,86.08,43.31,Normal
154.28,386.49,96.45,36.56,Fail
179.85,448.08,80.49,52.73,Fail
208.89,482.52,106.36,40.94,Maintenance
150.24,483.8,91.9,43.68,Maintenance
173.27,477.98,97.86,41.7,Normal
159.46,485.43,92.12,41.24,Maintenance
161.65,479.42,104.49,50.82,Maintenance
180.79,459.78,97.09,42.14,Normal
203.6,416.33,93.1,38.7,Fail
175.01,527.19,98.92,38.39,Maintenance
162.07,493.0,135.63,37.2,Maintenance
168.75,413.5,103.44,43.78,Fail
169.8,417.46,92.62,43.67,Normal
153.2,504.47,100.24,40.44,Maintenance
170.35,502.36,95.56,34.49,Maintenance
184.06,450.99,92.15,41.73,Normal
192.62,530.23,108.18,39.86,Fail
161.92,466.85,117.2,44.7,Fail
152.91,523.68,89.61,44.47,Fail
132.59,407.7,103.22,41.88,Fail
172.65,386.99,96.07,35.76,Fail
178.51,498.58,96.24,42.52,Maintenance
159.26,467.59,99.69,34.96,Normal
178.8,477.74,117.03,37.42,Maintenance
161.54,426.56,111.16,41.7,Fail
171.07,480.18,89.36,40.17,Maintenance
165.8,484.77,105.88,40.41,Maintenance
199.66,466.84,98.69,51.09,Maintenance
178.47,437.3,111.28,47.67,Normal
176.52,470.47,105.13,35.38,Fail
153.79,467.85,81.5,42.23,Maintenance
164.79,612.33,90.02,34.11,Fail
180.81,442.37,120.66,45.54,Fail
161.76,449.47,80.67,40.84,Fail
163.06,414.3,111.28,38.88,Maintenance
145.24,465.81,110.12,38.66,Normal
181.38,409.79,93.07,41.15,Fail
188.81,443.45,118.89,35.44,Fail
154.45,388.09,92.52,36.41,Maintenance
163.22,475.16,95.46,50.07,Maintenance
186.71,511.51,88.47,37.51,Maintenance
182.07,396.38,82.96,42.45,Fail
184.24,391.03,87.89,30.76,Fail
177.8,507.85,83.31,42.75,Normal
169.09,360.73,106.78,26.38,Fail
191.32,452.24,94.91,44.36,Normal
176.67,487.95,90.86,42.66,Fail
195.45,470.19,91.7,44.93,Normal
144.45,537.45,104.77,31.74,Fail
130.83,358.48,79.5,39.89,Normal
174.02,477.84,104.7,47.26,Normal
170.42,432.58,93.33,34.83,Normal
183.9,372.26,93.65,36.87,Fail
190.88,506.84,103.05,40.34,Fail
172.75,470.4,84.11,43.21,Normal
192.82,393.64,110.5,44.17,Normal
182.06,466.48,92.6,41.52,Maintenance
146.46,455.26,108.11,35.57,Fail
191.64,472.76,109.86,36.48,Normal
154.67,405.39,96.44,36.24,Fail
184.08,448.41,98.45,34.74,Maintenance
177.75,465.03,94.99,35.79,Normal
188.33,500.25,110.79,38.18,Maintenance
153.99,370.27,91.33,44.18,Fail
153.84,473.25,108.72,37.53,Normal
155.67,436.35,95.62,41.99,Normal
157.06,322.78,112.89,34.17,Normal
172.53,400.27,102.7,37.99,Fail
152.71,296.91,106.86,42.15,Fail
170.43,415.8,79.91,33.32,Maintenance
174.93,458.06,92.29,45.5,Normal
185.42,477.35,91.8,44.51,Maintenance
155.32,397.86,87.23,31.78,Fail
193.54,445.56,103.05,40.58,Fail
194.84,473.21,110.54,40.26,Maintenance
178.44,505.98,100.67,32.38,Maintenance
186.03,421.73,99.62,33.11,Maintenance
156.34,404.61,107.88,35.3,Normal
186.85,324.72,91.7,39.53,Normal
165.37,393.51,109.17,39.53,Maintenance
149.35,415.8,101.74,38.34,Maintenance
168.54,442.36,104.1,31.85,Maintenance
167.45,490.4,106.98,36.31,Fail
181.44,376.66,110.23,40.82,Maintenance
183.98,375.9,100.2,33.34,Fail
191.03,433.64,108.12,35.44,Normal
167.86,430.65,96.48,31.89,Fail
196.43,440.63,115.13,67.41,Maintenance
147.22,483.53,109.04,43.46,Normal
165.81,477.74,108.18,42.58,Fail
182.72,471.53,108.37,34.78,Normal
180.63,408.9,92.82,40.32,Maintenance
184.37,449.96,102.96,45.74,Normal
184.39,398.74,93.2,56.35,Maintenance
148.73,461.44,109.12,39.29,Normal
170.05,470.99,96.06,42.4,Normal
172.1,435.99,102.18,44.96,Maintenance
167.95,405.6,105.94,42.21,Normal
160.97,415.49,77.92,45.57,Maintenance
176.87,484.66,96.37,34.04,Normal
188.09,474.93,107.32,39.29,Maintenance
151.83,396.5,94.23,31.3,Normal
189.72,403.91,98.37,33.43,Maintenance
178.76,399.6,97.74,45.51,Fail
186.09,545.6,100.61,42.23,Fail
184.93,511.15,76.89,44.35,Fail
164.33,440.03,92.04,36.19,Maintenance
185.16,438.71,98.84,37.63,Fail
165.53,404.5,110.46,44.75,Maintenance
166.25,408.3,92.07,48.39,Normal
174.42,395.22,115.08,32.99,Normal
154.88,491.07,105.44,43.76,Fail
152.71,400.31,90.56,42.61,Fail
151.68,406.5,103.65,50.3,Fail
185.73,453.63,97.45,44.65,Maintenance
175.15,448.94,99.74,45.5,Maintenance
142.59,444.84,112.28,40.23,Normal
170.6,427.49,103.41,40.08,Maintenance
158.32,358.17,96.83,41.21,Normal
167.79,451.33,80.57,38.65,Fail
158.36,511.14,95.21,44.14,Fail
170.71,398.23,105.2,35.97,Fail
166.32,413.73,80.73,35.69,Maintenance
166.22,420.75,104.56,31.7,Fail
159.87,399.27,105.17,36.72,Normal
195.98,399.46,88.32,39.27,Normal
152.38,429.69,107.6,50.69,Maintenance
179.67,469.05,93.96,41.5,Fail
159.61,511.55,109.87,31.95,Fail
162.87,397.55,110.7,42.71,Normal
169.63,397.77,112.25,33.8,Normal
164.82,419.76,114.27,34.4,Fail
170.23,419.99,87.53,38.95,Fail
159.92,433.25,100.72,36.69,Fail
167.29,481.85,96.36,38.88,Maintenance
176.15,471.94,101.93,43.85,Normal
175.44,418.0,106.13,36.66,Fail
203.87,475.25,112.82,50.21,Fail
170.34,512.06,99.77,35.6,Maintenance
156.92,409.16,101.29,30.79,Fail
142.41,435.68,104.82,47.07,Normal
157.36,387.53,108.36,41.1,Fail
175.81,450.37,95.83,48.07,Fail
208.7,383.99,103.68,42.56,Normal
174.6,475.5,117.27,38.62,Normal
177.4,430.12,115.22,47.44,Maintenance
156.17,428.9,115.61,65.72,Maintenance
176.78,468.92,112.17,51.37,Normal
169.1,443.03,110.58,47.73,Normal
176.11,447.42,98.05,40.31,Maintenance
173.55,489.13,106.11,42.34,Maintenance
186.88,467.53,102.98,41.04,Fail
181.35,446.09,99.13,44.3,Fail
195.05,390.59,96.91,32.4,Fail
170.33,522.37,105.05,37.79,Maintenance
194.35,530.41,112.77,38.88,Normal
185.54,475.19,105.12,34.67,Normal
167.99,388.54,83.44,39.29,Maintenance
168.23,434.56,97.7,44.42,Fail
160.13,510.35,100.25,43.18,Normal
179.42,409.65,99.81,30.68,Normal
174.58,426.73,96.12,43.49,Maintenance
189.59,371.59,79.96,44.8,Fail
213.77,424.52,122.15,28.74,Fail
181.35,459.79,122.62,41.33,Maintenance
176.32,458.8,100.84,52.17,Maintenance
168.05,438.51,109.26,46.25,Maintenance
175.12,494.01,97.01,50.83,Fail
193.53,426.22,84.89,53.39,Maintenance
161.17,449.14,90.71,47.58,Normal
144.23,454.43,99.88,37.09,Fail
164.48,470.06,110.49,36.61,Maintenance
179.01,503.99,94.92,38.07,Fail
173.46,417.34,96.42,45.26,Fail
161.31,460.11,90.92,29.2,Fail
165.98,454.59,113.67,46.26,Maintenance
207.83,389.54,78.34,34.26,Fail
170.39,416.2,110.64,49.64,Fail
158.99,478.4,96.92,39.05,Maintenance
173.82,515.7,102.63,40.99,Fail
176.98,340.0,89.86,41.32,Fail
172.14,433.13,90.76,43.92,Normal
181.21,464.23,98.85,43.14,Normal
161.25,464.31,107.96,46.03,Maintenance
154.43,381.77,94.37,44.46,Fail
186.18,393.3,96.32,42.7,Fail
169.65,496.11,98.63,43.78,Normal
154.13,398.76,89.66,38.79,Normal
179.0,518.54,109.52,43.33,Fail
150.56,420.0,80.83,55.43,Fail
150.17,354.71,102.22,35.47,Normal
164.85,424.53,98.5,37.32,Maintenance
161.5,508.07,99.82,47.58,Fail
169.73,351.77,93.59,55.9,Normal
163.32,389.07,111.06,32.51,Fail
172.96,423.1,85.37,47.42,Fail
159.01,446.85,90.15,38.91,Fail
191.47,449.4,93.62,35.93,Normal
167.52,415.56,111.3,33.5,Normal
181.5,442.91,100.69,43.36,Fail
153.01,349.53,106.63,33.27,Normal
175.41,354.93,96.36,31.96,Maintenance
167.82,414.37,99.29,49.46,Fail
176.68,408.82,115.7,38.14,Normal
162.04,459.68,99.62,42.64,Fail
184.89,434.7,119.18,37.58,Maintenance
198.13,507.48,87.74,31.14,Fail
185.33,437.37,127.6,40.62,Fail
149.68,403.83,122.69,37.77,Fail
172.03,380.72,111.68,33.56,Normal
171.28,440.12,97.77,38.97,Normal
